route_id,agency_id,route_short_name,route_long_name,route_type
"6-GIV-mjp-1","","","Geelong - Inverleigh Via Fyansford","3"
"6-Hpt-mjp-1","","","Penshurst - Hamilton Via Tarrington","3"
"6-KM1-mjp-1","","","Kilmore - Kilmore East Railway Station","3"
"6-KWR-mjp-1","","","Koo-Wee-Rup - Pakenham","3"
"6-KeE-mjp-1","","","Echuca - Kerang","3"
"6-Ker-mjp-1","","","Kerang","3"
"6-Kym-mjp-1","","","Kyneton Town Centre - Malmsbury","3"
"6-MLH-mjp-1","","","Horsham - Mildura Via Warracknabeal & Ouyen","3"
"6-Ma1-mjp-1","","","Maffra Post Office - Glassford Street Via Maffra Hospital","3"
"6-Mab-mjp-1","","","Maryborough - Maryborough Station","3"
"6-Mbe-mjp-1","","","Maryborough - Maryborough Via Bowenvale, Dunolly & Bealiba","3"
"6-MiS-mjp-1","","","Mildura - Sea Lake Via Ouyen","3"
"6-Mre-mjp-1","","","Maryborough - Maryborough Via Avoca, Redbank & Natte Yallock","3"
"6-MtB-mjp-1","","","Albury - Mt Beauty Via Baranduda, Kergunya & Tawonga South","3"
"6-MtE-mjp-1","","","Ballarat - Mt Egerton Via Gordon","3"
"6-Mta-mjp-1","","","Maryborough Via Daisy Hill, Talbot & Red Lion","3"
"6-Nar-mjp-1","","","Horsham - Naracoorte Via Natimuk, Goroke & Edenhope","3"
"6-Nul-mjp-1","","","Sea Lake - Nullawil Via Berriwillock & Culgoa","3"
"6-Ouy-mjp-1","","","Ouyen - Pinnaroo Via Mallee Hwy","3"
"6-R01-mjp-1","","","Restdown Retirement Village","3"
"6-R11-mjp-1","","","Donald - Horsham Via Minyip, Rupanyup & Murtoa","3"
"6-R12-mjp-1","","","Sea Lake - Swan Hill Via Lake Boga or Ultima","3"
"6-R13-mjp-1","","","Birchip - Horsham Via Warracknabeal","3"
"6-R14-mjp-1","","","Horsham - Hopetoun Via Dimboola & Rainbow","3"
"6-R21-mjp-1","","","Mildura - Robinvale Via Euston","3"
"6-R22-mjp-1","","","Ballarat - Stawell Via Beaufort & Ararat","3"
"6-R29-mjp-1","","","Bendigo - Kyneton Via Castlemaine & Taradale","3"
"6-R53-mjp-1","","","Wangaratta - Cheshunt Via Wangaratta - Whitfield Rd","3"
"6-R95-mjp-1","","","Kyneton - Woodend","3"
