route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"5-EC2-C-mjp-1","T0","1392.T0.5-EC2-C-mjp-1.1.H","5-EC2-C-mjp-1.1.H","Melbourne","0"
"5-EC2-C-mjp-1","T0","1393.T0.5-EC2-C-mjp-1.1.H","5-EC2-C-mjp-1.1.H","Melbourne","0"
"5-EC2-C-mjp-1","T0","1398.T0.5-EC2-C-mjp-1.2.H","5-EC2-C-mjp-1.2.H","Melbourne","0"
"5-EC2-C-mjp-1","T0","2130.T0.5-EC2-C-mjp-1.3.R","5-EC2-C-mjp-1.3.R","Echuca/Moama","1"
"5-EC2-C-mjp-1","T0","2131.T0.5-EC2-C-mjp-1.3.R","5-EC2-C-mjp-1.3.R","Echuca/Moama","1"
"5-EC2-C-mjp-1","T0","1865.T0.5-EC2-C-mjp-1.4.R","5-EC2-C-mjp-1.4.R","Echuca/Moama","1"
"5-Ech-C-mjp-1","T0","1107.T0.5-Ech-C-mjp-1.1.H","","Melbourne","0"
"5-Ech-C-mjp-1","T0","1386.T0.5-Ech-C-mjp-1.2.H","5-Ech-C-mjp-1.2.H","Melbourne","0"
"5-Ech-C-mjp-1","T0","1387.T0.5-Ech-C-mjp-1.2.H","5-Ech-C-mjp-1.2.H","Melbourne","0"
"5-Ech-C-mjp-1","T0","2136.T0.5-Ech-C-mjp-1.3.R","5-Ech-C-mjp-1.3.R","Echuca/Moama","1"
"5-Ech-C-mjp-1","T0","2137.T0.5-Ech-C-mjp-1.3.R","5-Ech-C-mjp-1.3.R","Echuca/Moama","1"
"5-Ech-C-mjp-1","T0","1051.T0.5-Ech-C-mjp-1.4.R","5-Ech-C-mjp-1.4.R","Echuca/Moama","1"
"5-V01-C-mjp-1","T0","2274.T0.5-V01-C-mjp-1.1.H","5-V01-C-mjp-1.1.H","Albury","0"
"5-V01-C-mjp-1","T0","2044.T0.5-V01-C-mjp-1.2.H","5-V01-C-mjp-1.2.H","Albury","0"
"5-V01-C-mjp-1","T0","1154.T0.5-V01-C-mjp-1.3.R","5-V01-C-mjp-1.3.R","Melbourne","1"
"5-V01-C-mjp-1","T0","1859.T0.5-V01-C-mjp-1.4.R","5-V01-C-mjp-1.4.R","Melbourne","1"
"5-V02-C-mjp-1","T0","1350.T0.5-V02-C-mjp-1.1.H","5-V02-C-mjp-1.1.H","Adelaide","0"
"5-V02-C-mjp-1","T0","2038.T0.5-V02-C-mjp-1.2.H","5-V02-C-mjp-1.2.H","Adelaide","0"
"5-V02-C-mjp-1","T0","2264.T0.5-V02-C-mjp-1.4.R","5-V02-C-mjp-1.4.R","Melbourne","1"
"5-V02-C-mjp-1","T0","1439.T0.5-V02-C-mjp-1.5.R","5-V02-C-mjp-1.5.R","Melbourne","1"
"5-V02-C-mjp-1","T0","1854.T0.5-V02-C-mjp-1.6.R","5-V02-C-mjp-1.6.R","Melbourne","1"
"5-V03-C-mjp-1","T0","1155.T0.5-V03-C-mjp-1.1.H","5-V03-C-mjp-1.1.H","Melbourne","0"
"5-V03-C-mjp-1","T0","1201.T0.5-V03-C-mjp-1.2.R","5-V03-C-mjp-1.2.R","Adelaide","1"
"5-V04-C-mjp-1","T0","1161.T0.5-V04-C-mjp-1.1.H","5-V04-C-mjp-1.1.H","Melbourne","0"
"5-V04-C-mjp-1","T0","2029.T0.5-V04-C-mjp-1.2.R","5-V04-C-mjp-1.2.R","Ararat","1"
"5-V05-C-mjp-1","T0","1512.T0.5-V05-C-mjp-1.1.H","5-V05-C-mjp-1.1.H","Ballarat","0"
"5-V05-C-mjp-1","T0","1513.T0.5-V05-C-mjp-1.2.H","5-V05-C-mjp-1.2.H","Ballarat","0"
"5-V05-C-mjp-1","T0","1838.T0.5-V05-C-mjp-1.5.R","5-V05-C-mjp-1.5.R","Melbourne","1"
"5-V05-C-mjp-1","T0","1183.T0.5-V05-C-mjp-1.6.R","5-V05-C-mjp-1.6.R","Melbourne","1"
"5-V07-C-mjp-1","T0","1186.T0.5-V07-C-mjp-1.1.H","5-V07-C-mjp-1.1.H","Melbourne","0"
"5-V07-C-mjp-1","T0","2154.T0.5-V07-C-mjp-1.2.H","5-V07-C-mjp-1.2.H","Melbourne","0"
"5-V07-C-mjp-1","T0","2155.T0.5-V07-C-mjp-1.5.R","5-V07-C-mjp-1.5.R","Barmah","1"
"5-V07-C-mjp-1","T0","1835.T0.5-V07-C-mjp-1.6.R","5-V07-C-mjp-1.6.R","Barmah","1"
"5-V08-C-mjp-1","T0","1571.T0.5-V08-C-mjp-1.1.H","5-V08-C-mjp-1.1.H","Bairnsdale","0"
"5-V08-C-mjp-1","T0","1572.T0.5-V08-C-mjp-1.1.H","5-V08-C-mjp-1.1.H","Bairnsdale","0"
"5-V08-C-mjp-1","T0","2183.T0.5-V08-C-mjp-1.3.R","5-V08-C-mjp-1.3.R","Melbourne","1"
"5-V08-C-mjp-1","T0","2184.T0.5-V08-C-mjp-1.3.R","5-V08-C-mjp-1.3.R","Melbourne","1"
"5-V08-C-mjp-1","T0","1454.T0.5-V08-C-mjp-1.4.R","5-V08-C-mjp-1.4.R","Melbourne","1"
"5-V08-C-mjp-1","T0","1453.T0.5-V08-C-mjp-1.5.R","5-V08-C-mjp-1.5.R","Melbourne","1"
"5-V08-C-mjp-1","T0","1336.T0.5-V08-C-mjp-1.6.R","5-V08-C-mjp-1.6.R","Melbourne","1"
"5-V10-C-mjp-1","T0","1232.T0.5-V10-C-mjp-1.1.H","5-V10-C-mjp-1.1.H","Melbourne","0"
"5-V10-C-mjp-1","T0","2243.T0.5-V10-C-mjp-1.2.R","5-V10-C-mjp-1.2.R","Barham","1"
"5-V14-C-mjp-1","T0","1153.T0.5-V14-C-mjp-1.1.H","5-V14-C-mjp-1.1.H","Canberra","0"
"5-V14-C-mjp-1","T0","1289.T0.5-V14-C-mjp-1.2.R","5-V14-C-mjp-1.2.R","Melbourne","1"
"5-V15-C-mjp-1","T0","1303.T0.5-V15-C-mjp-1.1.H","5-V15-C-mjp-1.1.H","Cowes or Inverloch","0"
"5-V15-C-mjp-1","T0","1304.T0.5-V15-C-mjp-1.1.H","5-V15-C-mjp-1.1.H","Cowes or Inverloch","0"
"5-V15-C-mjp-1","T0","1305.T0.5-V15-C-mjp-1.1.H","5-V15-C-mjp-1.1.H","Cowes or Inverloch","0"
"5-V15-C-mjp-1","T0","1306.T0.5-V15-C-mjp-1.1.H","5-V15-C-mjp-1.1.H","Cowes or Inverloch","0"
"5-V15-C-mjp-1","T0","1318.T0.5-V15-C-mjp-1.2.H","5-V15-C-mjp-1.2.H","Cowes or Inverloch","0"
"5-V15-C-mjp-1","T0","1319.T0.5-V15-C-mjp-1.2.H","5-V15-C-mjp-1.2.H","Cowes or Inverloch","0"
"5-V15-C-mjp-1","T0","1320.T0.5-V15-C-mjp-1.3.H","5-V15-C-mjp-1.3.H","Cowes or Inverloch","0"
"5-V15-C-mjp-1","T0","1321.T0.5-V15-C-mjp-1.3.H","5-V15-C-mjp-1.3.H","Cowes or Inverloch","0"
"5-V15-C-mjp-1","T0","1360.T0.5-V15-C-mjp-1.4.R","5-V15-C-mjp-1.4.R","Melbourne","1"
