route_id,agency_id,route_short_name,route_long_name,route_type
"5-EC2-C-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3"
"5-EC2-D-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3"
"5-EC2-E-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3"
"5-Ech-mjp-1","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3"
"5-Ech-A-mjp-1","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3"
"5-Ech-B-mjp-1","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3"
"5-Ech-C-mjp-1","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3"
"5-Ech-D-mjp-1","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3"
"5-Ech-E-mjp-1","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3"
"5-SBO-mjp-1","","","Bendigo Station - Shepparton Station","3"
"5-V01-mjp-1","","","Albury - Melbourne Via Seymour","3"
"5-V01-A-mjp-1","","","Albury - Melbourne Via Seymour","3"
"5-V01-B-mjp-1","","","Albury - Melbourne Via Seymour","3"
"5-V01-C-mjp-1","","","Albury - Melbourne Via Seymour","3"
"5-V01-D-mjp-1","","","Albury - Melbourne Via Seymour","3"
"5-V01-E-mjp-1","","","Albury - Melbourne Via Seymour","3"
"5-V02-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3"
"5-V02-A-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3"
"5-V02-B-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3"
"5-V02-C-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3"
"5-V02-D-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3"
"5-V02-E-mjp-1","","","Adelaide - Melbourne Via Horsham, Ballarat & Geelong","3"
"5-V03-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3"
"5-V03-A-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3"
"5-V03-B-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3"
"5-V03-C-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3"
"5-V03-D-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3"
"5-V03-E-mjp-1","","","Melbourne - Adelaide Via Bendigo & Nhill","3"
"5-V04-mjp-1","","","Melbourne - Ararat Via Ballarat","3"
"5-V04-A-mjp-1","","","Melbourne - Ararat Via Ballarat","3"
"5-V04-B-mjp-1","","","Melbourne - Ararat Via Ballarat","3"
"5-V04-C-mjp-1","","","Melbourne - Ararat Via Ballarat","3"
"5-V04-D-mjp-1","","","Melbourne - Ararat Via Ballarat","3"
"5-V04-E-mjp-1","","","Melbourne - Ararat Via Ballarat","3"
"5-V05-mjp-1","","","Ballarat - Melbourne Via Melton","3"
"5-V05-A-mjp-1","","","Ballarat - Melbourne Via Melton","3"
"5-V05-B-mjp-1","","","Ballarat - Melbourne Via Melton","3"
"5-V05-C-mjp-1","","","Ballarat - Melbourne Via Melton","3"
"5-V05-D-mjp-1","","","Ballarat - Melbourne Via Melton","3"
"5-V05-E-mjp-1","","","Ballarat - Melbourne Via Melton","3"
"5-V06-mjp-1","","","Warrnambool - Ballarat Via Skipton","3"
"5-V06-A-mjp-1","","","Warrnambool - Ballarat Via Skipton","3"
"5-V06-C-mjp-1","","","Warrnambool - Ballarat Via Skipton","3"
"5-V06-D-mjp-1","","","Warrnambool - Ballarat Via Skipton","3"
"5-V06-E-mjp-1","","","Warrnambool - Ballarat Via Skipton","3"
"5-995-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3"
"5-995-A-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3"
"5-995-B-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3"
"5-995-C-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3"
"5-995-D-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3"
"5-995-E-mjp-1","","","Warrnambool - Melbourne Via Ararat & Hamilton","3"
"5-EC2-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3"
"5-EC2-A-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3"
"5-EC2-B-mjp-1","","","Melbourne - Echuca/Moama Via Shepparton","3"
"5-V07-mjp-1","","","Melbourne - Barmah Via Heathcote & Shepparton","3"
"5-V07-A-mjp-1","","","Melbourne - Barmah Via Heathcote & Shepparton","3"
"5-V07-B-mjp-1","","","Melbourne - Barmah Via Heathcote & Shepparton","3"
"5-V07-C-mjp-1","","","Melbourne - Barmah Via Heathcote & Shepparton","3"
"5-V07-D-mjp-1","","","Melbourne - Barmah Via Heathcote & Shepparton","3"
"5-V07-E-mjp-1","","","Melbourne - Barmah Via Heathcote & Shepparton","3"
"5-V08-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","3"
"5-V08-B-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","3"
"5-V08-C-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","3"
"5-V08-D-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","3"
"5-V08-E-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","3"
"5-V09-mjp-1","","","Batemans Bay - Melbourne Via Bairnsdale","3"
"5-V09-A-mjp-1","","","Batemans Bay - Melbourne Via Bairnsdale","3"
"5-V09-B-mjp-1","","","Batemans Bay - Melbourne Via Bairnsdale","3"
"5-V09-C-mjp-1","","","Batemans Bay - Melbourne Via Bairnsdale","3"
"5-V09-D-mjp-1","","","Batemans Bay - Melbourne Via Bairnsdale","3"
"5-V09-E-mjp-1","","","Batemans Bay - Melbourne Via Bairnsdale","3"
"5-V10-mjp-1","","","Melbourne - Barham Via Heathcote","3"
"5-V10-A-mjp-1","","","Melbourne - Barham Via Heathcote","3"
"5-V10-B-mjp-1","","","Melbourne - Barham Via Heathcote","3"
"5-V10-C-mjp-1","","","Melbourne - Barham Via Heathcote","3"
"5-V10-D-mjp-1","","","Melbourne - Barham Via Heathcote","3"
"5-V10-E-mjp-1","","","Melbourne - Barham Via Heathcote","3"
"5-V11-mjp-1","","","Bendigo - Albury Via Shepparton & Wangaratta","3"
"5-V11-A-mjp-1","","","Bendigo - Albury Via Shepparton & Wangaratta","3"
"5-V11-C-mjp-1","","","Bendigo - Albury Via Shepparton & Wangaratta","3"
"5-V11-D-mjp-1","","","Bendigo - Albury Via Shepparton & Wangaratta","3"
"5-V11-E-mjp-1","","","Bendigo - Albury Via Shepparton & Wangaratta","3"
"5-V12-mjp-1","","","Bendigo Via Sunbury","3"
"5-V12-A-mjp-1","","","Bendigo - Melbourne Via Sunbury","3"
"5-V12-B-mjp-1","","","Bendigo - Melbourne Via Sunbury","3"
"5-V12-C-mjp-1","","","Bendigo Via Sunbury","3"
"5-V12-D-mjp-1","","","Bendigo Via Sunbury","3"
"5-V12-E-mjp-1","","","Bendigo Via Sunbury","3"
"5-V13-mjp-1","","","Melbourne - Canberra Via Bairnsdale","3"
"5-V13-A-mjp-1","","","Melbourne Via Bairnsdale","3"
"5-V13-C-mjp-1","","","Melbourne - Canberra Via Bairnsdale","3"
"5-V13-D-mjp-1","","","Melbourne - Canberra Via Bairnsdale","3"
"5-V13-E-mjp-1","","","Melbourne - Canberra Via Bairnsdale","3"
"5-V14-mjp-1","","","Canberra - Melbourne Via Albury","3"
"5-V14-A-mjp-1","","","Canberra - Melbourne Via Albury","3"
"5-V14-B-mjp-1","","","Canberra - Melbourne Via Albury","3"
"5-V14-C-mjp-1","","","Canberra - Melbourne Via Albury","3"
"5-V14-D-mjp-1","","","Canberra - Melbourne Via Albury","3"
"5-V08-A-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","3"
"5-V14-E-mjp-1","","","Canberra - Melbourne Via Albury","3"
"5-V15-mjp-1","","","Cowes or Inverloch - Melbourne Via Koo Wee Rup & Dandenong","3"
"5-V15-A-mjp-1","","","Cowes or Inverloch - Melbourne Via Koo Wee Rup & Dandenong","3"
"5-V15-B-mjp-1","","","Cowes or Inverloch - Melbourne Via Koo Wee Rup & Dandenong","3"
"5-V15-C-mjp-1","","","Cowes or Inverloch - Melbourne Via Koo Wee Rup & Dandenong","3"
"5-V15-D-mjp-1","","","Cowes or Inverloch - Melbourne Via Koo Wee Rup & Dandenong","3"
"5-V15-E-mjp-1","","","Cowes or Inverloch - Melbourne Via Koo Wee Rup & Dandenong","3"
"5-V16-mjp-1","","","Melbourne - Casterton Via Warrnambool & Hamilton","3"
"5-V16-A-mjp-1","","","Melbourne - Casterton Via Warrnambool & Hamilton","3"
"5-V16-B-mjp-1","","","Melbourne - Casterton Via Warrnambool & Hamilton","3"
"5-V16-C-mjp-1","","","Melbourne - Casterton Via Warrnambool & Hamilton","3"
"5-V16-D-mjp-1","","","Melbourne - Casterton Via Warrnambool & Hamilton","3"
"5-V16-E-mjp-1","","","Melbourne - Casterton Via Warrnambool & Hamilton","3"
"5-V17-mjp-1","","","Corowa - Melbourne Via Rutherglen & Wangaratta","3"
"5-V17-A-mjp-1","","","Corowa - Melbourne Via Rutherglen & Wangaratta","3"
"5-V17-B-mjp-1","","","Corowa - Melbourne Via Rutherglen & Wangaratta","3"
"5-V17-C-mjp-1","","","Corowa - Melbourne Via Rutherglen & Wangaratta","3"
"5-V17-D-mjp-1","","","Corowa - Melbourne Via Rutherglen & Wangaratta","3"
"5-V17-E-mjp-1","","","Corowa - Melbourne Via Rutherglen & Wangaratta","3"
"5-V18-mjp-1","","","Daylesford - Melbourne Via Woodend or Castlemaine","3"
"5-V18-A-mjp-1","","","Daylesford - Melbourne Via Woodend or Castlemaine","3"
"5-V18-B-mjp-1","","","Daylesford - Melbourne Via Woodend or Castlemaine","3"
"5-V18-C-mjp-1","","","Daylesford - Melbourne Via Woodend or Castlemaine","3"
"5-V18-D-mjp-1","","","Daylesford - Melbourne Via Woodend or Castlemaine","3"
"5-V18-E-mjp-1","","","Daylesford - Melbourne Via Woodend or Castlemaine","3"
"5-V19-mjp-1","","","Melbourne - Donald Via Bendigo","3"
"5-V19-C-mjp-1","","","Melbourne - Donald Via Bendigo","3"
"5-V19-D-mjp-1","","","Melbourne - Donald Via Bendigo","3"
"5-V19-E-mjp-1","","","Melbourne - Donald Via Bendigo","3"
"5-V20-mjp-1","","","Melbourne - Deniliquin Via Heathcote & Echuca","3"
"5-V20-A-mjp-1","","","Melbourne - Deniliquin Via Heathcote & Echuca","3"
"5-V20-B-mjp-1","","","Melbourne - Deniliquin Via Heathcote & Echuca","3"
"5-V20-C-mjp-1","","","Melbourne - Deniliquin Via Heathcote & Echuca","3"
"5-V20-D-mjp-1","","","Melbourne - Deniliquin Via Heathcote & Echuca","3"
"5-V20-E-mjp-1","","","Melbourne - Deniliquin Via Heathcote & Echuca","3"
"5-V22-mjp-1","","","Bendigo - Geelong Via Ballarat","3"
"5-V22-A-mjp-1","","","Bendigo - Geelong Via Ballarat","3"
"5-V22-C-mjp-1","","","Bendigo - Geelong Via Ballarat","3"
"5-V22-D-mjp-1","","","Bendigo - Geelong Via Ballarat","3"
"5-V22-E-mjp-1","","","Bendigo - Geelong Via Ballarat","3"
"5-V23-mjp-1","","","Geelong - Melbourne","3"
"5-V23-A-mjp-1","","","Melbourne","3"
"5-V23-B-mjp-1","","","Geelong","3"
"5-V23-C-mjp-1","","","Geelong - Melbourne","3"
"5-V23-D-mjp-1","","","Geelong - Melbourne","3"
"5-V23-E-mjp-1","","","Geelong - Melbourne","3"
"5-V24-mjp-1","","","Melbourne - Halls Gap Via Ballarat & Stawell","3"
"5-V24-A-mjp-1","","","Melbourne - Halls Gap Via Ballarat & Stawell","3"
"5-V24-B-mjp-1","","","Melbourne - Halls Gap Via Ballarat & Stawell","3"
"5-V24-C-mjp-1","","","Melbourne - Halls Gap Via Ballarat & Stawell","3"
"5-V24-D-mjp-1","","","Melbourne - Halls Gap Via Ballarat & Stawell","3"
"5-V24-E-mjp-1","","","Melbourne - Halls Gap Via Ballarat & Stawell","3"
"5-V25-mjp-1","","","Marlo - Melbourne Via Lake Tyers Beach & Lakes Entrance","3"
