route_id,agency_id,route_short_name,route_long_name,route_type
"4-PMA-mjp-1","","109 Express","Arts Centre","3"
"4-150-mjp-1","","150","Williams Landing Station - Tarneit Station","3"
"4-151-mjp-1","","151","Williams Landing Station - Tarneit Station","3"
"4-153-mjp-1","","153","Werribee Station - Williams Landing Station","3"
"4-160-mjp-1","","160","Hoppers Crossing Station - Tarneit Station","3"
"4-161-mjp-1","","161","Werribee Station - Hoppers Crossing Station","3"
"4-166-mjp-1","","166","Hoppers Crossing Station - Wyndham Vale Station","3"
"4-167-mjp-1","","167","Hoppers Crossing Station - Tarneit Station","3"
"4-170-mjp-1","","170","Werribee Station - Tarneit Station","3"
"4-180-mjp-1","","180","Werribee Station - Tarneit Station","3"
"4-181-mjp-1","","181","Werribee Station - Hoppers Crossing Station","3"
"4-190-mjp-1","","190","Werribee Station - Wyndham Vale Station","3"
"4-191-mjp-1","","191","Werribee Station - Manor Lakes","3"
"4-192-mjp-1","","192","Werribee Station - Wyndham Vale Station","3"
"4-200-mjp-1","","200","City (Queen St) - Bulleen","3"
"4-C10-mjp-1","","200-207 combined","City (Lonsdale St)","3"
"4-201-B-mjp-1","","201","Deakin University - Box Hill Station","3"
"4-201-C-mjp-1","","201","Box Hill Station","3"
"4-201-D-mjp-1","","201","Deakin University - Box Hill Station","3"
"4-207-mjp-1","","207","Doncaster SC","3"
"4-215-mjp-1","","215","Highpoint SC - Caroline Springs","3"
"4-216-mjp-1","","216","Brighton Beach - Caroline Springs","3"
"4-219-mjp-1","","219","Sunshine South - Gardenvale","3"
"4-220-mjp-1","","220","Sunshine - Gardenvale","3"
"4-223-mjp-1","","223","Yarraville - Highpoint SC","3"
"4-232-mjp-1","","232","City (Queen Victoria Market) - Altona North","3"
"4-234-mjp-1","","234","Garden City - City (Queen Victoria Market)","3"
"4-235-mjp-1","","235","City - Fishermans Bend","3"
"4-236-mjp-1","","236","Queen Victoria Market - Garden City","3"
"4-237-mjp-1","","237","City - Fishermans Bend","3"
"4-246-mjp-1","","246","Elsternwick - Clifton Hill","3"
"4-250-mjp-1","","250","La Trobe University - City (Queen St)","3"
"4-251-mjp-1","","251","City (Queen St) - Northland SC","3"
"4-270-mjp-1","","270","Box Hill - Mitcham","3"
"4-271-mjp-1","","271","Box Hill - Ringwood","3"
"4-273-mjp-1","","273","Nunawading - The Pines SC","3"
"4-279-mjp-1","","279","Box Hill - Doncaster SC/Templestowe","3"
"4-280-mjp-1","","280","The Pines SC","3"
"4-28X-mjp-1","","281","Deakin University - Templestowe","3"
"4-282-mjp-1","","282","The Pines SC","3"
"4-284-mjp-1","","284","Box Hill - Doncaster Park & Ride","3"
"4-285-mjp-1","","285","Doncaster Park & Ride - Camberwell SC","3"
"4-293-mjp-1","","293","Box Hill - Greensborough","3"
"4-295-mjp-1","","295","Doncaster SC - The Pines SC","3"
"4-x58-mjp-1","","301","La Trobe University - Reservoir Station","3"
"4-302-mjp-1","","302","City (Lonsdale St) - Box Hill","3"
"4-303-mjp-1","","303","City - Ringwood North","3"
"4-304-mjp-1","","304","City (Lonsdale St) - Doncaster SC","3"
"4-305-mjp-1","","305","City (King/Lonsdale Sts) - The Pines","3"
"4-309-mjp-1","","309","City (Queen St) - Donvale","3"
"4-318-mjp-1","","318","City (King/Lonsdale Sts) - Deep Creek","3"
"4-350-mjp-1","","350","City (Queen St) - La Trobe University","3"
"4-356-mjp-1","","356","Epping Station - Wollert East","3"
"4-357-mjp-1","","357","Thomastown Station - Wollert West","3"
"4-358-mjp-1","","358","Wollert - Epping Station","3"
"4-364-mjp-1","","364","Ringwood Station - Warrandyte","3"
"4-370-mjp-1","","370","Mitcham - Ringwood","3"
"4-380-mjp-1","","380","Ringwood Loop  (clockwise) - Ringwood Loop  (anti-clockwise)","3"
"4-381-mjp-1","","381","South Morang Station - Diamond Creek Station","3"
"4-382-mjp-1","","382","Northland SC - Whittlesea","3"
"4-383-mjp-1","","383","Palisades - University Hill","3"
"4-384-mjp-1","","384","Whittlesea - Kinglake","3"
"4-385-mjp-1","","385","Mernda North/Whittlesea (via Laurimer Town Centre) - Greensborough (via Laurimer Town Centre)","3"
"4-386-mjp-1","","386","Bundoora RMIT - Mernda North","3"
"4-387-mjp-1","","387","Bundoora RMIT (via Hawkstowe Pde) - Mernda North  (via Hawkstowe Pde)","3"
"4-4o0-mjp-1","","400","Laverton Station - Sunshine Station","3"
"4-401-A-mjp-1","","401","University of Melbourne - North Melbourne Station","3"
"4-401-B-mjp-1","","401","University of Melbourne - North Melbourne Station","3"
"4-402-mjp-1","","402","East Melbourne - Footscray","3"
"4-403-mjp-1","","403","University of Melbourne - Footscray Station","3"
"4-404-mjp-1","","404","Footscray Station - Moonee Ponds","3"
"4-406-mjp-1","","406","Footscray Station - Keilor East","3"
"4-407-mjp-1","","407","Highpoint SC - Avondale Heights","3"
"4-408-mjp-1","","408","Highpoint SC - St Albans Station","3"
"4-4O8-mjp-1","","408","Highpoint SC - St Albans Station","3"
"4-X61-mjp-1","","409","Yarraville - Highpoint SC","3"
"4-410-mjp-1","","410","Footscray - Sunshine Station","3"
"4-411-mjp-1","","411","Footscray - Laverton Station","3"
"4-412-mjp-1","","412","Footscray - Laverton Station","3"
"4-414-mjp-1","","414","Footscray - Laverton Station","3"
"4-415-mjp-1","","415","Williamstown - Laverton Station","3"
"4-417-mjp-1","","417","Laverton Station - Laverton North","3"
"4-418-mjp-1","","418","Caroline Springs - St Albans Station","3"
"4-4I8-mjp-1","","418","St Albans Station - Caroline Springs","3"
"4-419-mjp-1","","419","Watergardens Station - St Albans Station","3"
"4-4I9-mjp-1","","419","St Albans Station - Watergardens Station","3"
"4-420-mjp-1","","420","Sunshine Station - Watergardens Station","3"
"4-421-mjp-1","","421","St Albans Station - Watergardens Station","3"
"4-4Z1-mjp-1","","421","St Albans Station - Watergardens Station","3"
"4-423-mjp-1","","423","St Albans Station - Brimbank Central SC","3"
"4-4Z3-mjp-1","","423","Brimbank Central SC - St Albans Station","3"
"4-424-mjp-1","","424","St Albans Station - Brimbank Central SC","3"
"4-4Z4-mjp-1","","424","St Albans Station - Brimbank Central SC","3"
"4-425-mjp-1","","425","Watergardens Station - St Albans Station","3"
"4-4Z5-mjp-1","","425","St Albans Station - Watergardens Station","3"
"4-427-mjp-1","","427","Sunshine West - Sunshine Station","3"
"4-428-mjp-1","","428","Sunshine West - Sunshine Station","3"
"4-431-mjp-1","","431","Kingsville - Yarraville","3"
"4-432-mjp-1","","432","Yarraville - Newport","3"
"4-439-mjp-1","","439","Werribee Station - Werribee South","3"
"4-441-mjp-1","","441","Werribee Station - Westleigh Gardens","3"
"4-443-mjp-1","","443","Werribee Station (clockwise) - Werribee Station (anti-clockwise)","3"
"4-453-mjp-1","","453","Melton Station - Melton","3"
"4-455-mjp-1","","455","Melton Station - Micasa Rise","3"
"4-456-mjp-1","","456","Sunshine Station - Melton","3"
"4-457-mjp-1","","457","Melton Station - Melton","3"
"4-458-mjp-1","","458","Melton Station - Kurunjang","3"
"4-459-mjp-1","","459","Melton Station - Arnolds Creek","3"
"4-460-mjp-1","","460","Watergardens Station - Caroline Springs Station","3"
"4-461-mjp-1","","461","Watergardens Station - Caroline Springs Town Centre","3"
"4-462-mjp-1","","462","Watergardens - Caroline Springs","3"
"4-465-mjp-1","","465","Keilor Park - Essendon Station","3"
"4-467-mjp-1","","467","Aberfeldie - Moonee Ponds Station","3"
"4-468-mjp-1","","468","Highpoint SC - Essendon","3"
"4-471-mjp-1","","471","Sunshine Station - Williamstown","3"
"4-472-mjp-1","","472","Williamstown - Moonee Ponds","3"
"4-475-mjp-1","","475","Moonee Ponds - Keilor East","3"
"4-476-mjp-1","","476","Moonee Ponds - Plumpton","3"
"4-478-mjp-1","","478","Airport West SC - Melbourne Airport","3"
"4-479-mjp-1","","479","Airport West SC - Sunbury Station","3"
"4-481-mjp-1","","481","Sunbury - Mount Lion","3"
"4-482-mjp-1","","482","Airport West SC - Melbourne Airport","3"
"4-L83-mjp-1","","483","Moonee Ponds - Sunbury","3"
"4-484-mjp-1","","484","Broadmeadows - Roxburgh Park","3"
"4-485-mjp-1","","485","Wilsons Lane - Sunbury","3"
"4-486-mjp-1","","486","Rolling Meadows - Sunbury","3"
"4-487-mjp-1","","487","Killara Heights - Sunbury","3"
"4-488-mjp-1","","488","Jacksons Hill - Sunbury","3"
"4-489-mjp-1","","489","Canterbury Hills - Sunbury","3"
"4-490-mjp-1","","490","Airport West - Gowanbrae","3"
"4-494-mjp-1","","494","Williams Landing Station - Point Cook South","3"
"4-495-mjp-1","","495","Williams Landing Station - Point Cook South","3"
"4-496-mjp-1","","496","Laverton Station - Sanctuary Lakes","3"
"4-497-mjp-1","","497","Williams Landing Station - Saltwater Coast Estate","3"
"4-498-mjp-1","","498","Laverton Station - Hoppers Crossing Station","3"
"4-501-mjp-1","","501","Moonee Ponds - Niddrie","3"
"4-503-mjp-1","","503","East Brunswick - Essendon","3"
"4-504-mjp-1","","504","Moonee Ponds - Clifton Hill","3"
"4-505-mjp-1","","505","Melbourne University - Moonee Ponds","3"
"4-506-mjp-1","","506","Westgarth - Moonee Ponds","3"
"4-508-mjp-1","","508","Moonee Ponds - Alphington","3"
"4-509-mjp-1","","509","Barkly Square SC - Brunswick West","3"
"4-510-mjp-1","","510","Essendon Station - Ivanhoe Station","3"
"4-512-mjp-1","","512","East Coburg - Strathmore Station","3"
"4-513-mjp-1","","513","Glenroy - Eltham","3"
"4-517-mjp-1","","517","St Helena - Northland SC","3"
"4-518-mjp-1","","518","St Helena West - Greensborough","3"
