stop_id,stop_name,stop_lat,stop_lon
"15020","Blackburn Rd/Ferntree Gully Rd (Glen Waverley)","-37.9013479305388","145.144192901868"
"15024","Forster Rd/Ferntree Gully Rd (Mount Waverley)","-37.8996535160773","145.129951103822"
"15149","Stud Park Shopping Centre/Stud Rd (Rowville)","-37.9171726443823","145.234959934062"
"15154","Scoresby Village Shopping Centre/Stud (West) Rd (Scoresby)","-37.8985406991822","145.232880324631"
"15163","Knox City Shopping Centre/Stud Rd (Wantirna)","-37.8666536110504","145.23631380361"
"15167","Boronia Rd/Stud Rd (Wantirna)","-37.8542232484364","145.24275911791"
"15172","Boronia Rd/Wantirna Rd (Wantirna)","-37.8469850578207","145.227031391692"
"15176","Gibson Ct/Wantirna Rd (Ringwood)","-37.8312875858182","145.227134506835"
"1522","Jones Rd/Princes Hwy (Dandenong)","-37.9757883684515","145.204149871514"
"15220","Knox City Shopping Centre/Stud Rd (Wantirna South)","-37.8675968128541","145.236109425436"
"15224","Boronia Rd/Stud Rd (Wantirna South)","-37.8534311240381","145.243425784928"
"15229","Garrisson Gr/Wantirna Rd (Wantirna)","-37.8467816190222","145.227286291993"
"15233","Canterbury Rd/Wantirna Rd (Ringwood)","-37.8311358038105","145.2272290398"
"1526","South Eastern Private Hospital/Princes Hwy (Noble Park)","-37.9661628368719","145.193502022469"
"1541","Albert Ave/Princes Hwy (Springvale)","-37.9300756156789","145.152072228812"
"1544","McNaughton Rd/Princes Hwy (Clayton)","-37.92374210408","145.141889433524"
"15840","Albert Ave/Boronia Rd (Boronia)","-37.8629336132029","145.2926826941"
"16210","Warrigal Rd/Centre Rd (Oakleigh South)","-37.9239416704216","145.081338139138"
"16226","Highview Ave/Camms Rd (Cranbourne)","-38.0977515821","145.279888179764"
"163","Mill Park Stables SC/Childs Rd (Mill Park)","-37.6672577446902","145.059511235992"
"16342","Cranbourne Park SC/Lyall St (Cranbourne)","-38.109702223466","145.284272796048"
"16512","Lillian St/Camms Rd (Cranbourne)","-38.0965135925412","145.268616254256"
"16560","Fairbank Rd/Westall Rd (Clayton South)","-37.9446308425435","145.13956535242"
"16883","Wards Gr/Centre Rd (Bentleigh East)","-37.9217209113316","145.062955047427"
"169","RMIT Bundoora Campus West/Plenty Rd (Bundoora)","-37.6807062323091","145.068991955138"
"1694","Brunswick St/Johnston St (Fitzroy)","-37.7984417587919","144.978922939025"
"1697","2057 Western Fwy (Rockbank)","-37.7289759785428","144.660295798026"
"17205","Applegum Cres/Scoresby Rd (Ferntree Gully)","-37.8745013778452","145.258592192178"
"17616","Warrigal Rd/Centre Rd (Oakleigh South)","-37.9237942046263","145.081137194562"
"17622","Wards Gr/Centre Rd (Bentleigh East)","-37.9215268778934","145.062664358838"
"1767","Grimshaw St/Plenty Rd (Bundoora)","-37.7011653997918","145.058128294992"
"18077","36-Hope St/Melville Rd (Brunswick West)","-37.7620401454899","144.944384140438"
"18081","40-Moreland Rd/Melville Rd (Brunswick West)","-37.7531629379661","144.945901075068"
"18112","Cranbourne Park SC/Lyall St (Cranbourne)","-38.1095022004844","145.284152014261"
"18115","Camms Rd/South Gippsland Hwy (Cranbourne)","-38.0973521856084","145.282771283161"
"18119","Thompsons Rd/South Gippsland Hwy (Cranbourne)","-38.0812592425674","145.275531815944"
"18123","Evans Rd/South Gippsland Hwy (Lynbrook)","-38.0591110719571","145.262876035895"
"18137","Hampton Park SC/Hallam Rd (Hampton Park)","-38.0351043711635","145.267203399777"
"18464","51-Hawthorn Rd/Balaclava Rd (Caulfield North)","-37.8727950786443","145.024947353926"
"18556","36-Hope St/Melville Rd (Brunswick West)","-37.7621622898493","144.944153729554"
"18560","40-Moreland Rd/Melville Rd (Brunswick West)","-37.753429008046","144.945655363689"
"18570","47-North Balwyn Shopping Centre/Doncaster Rd (Balwyn North)","-37.7927110539134","145.070860542084"
"18717","125-Blyth St/Lygon St (Brunswick East)","-37.7666640399032","144.972511656487"
"18859","Glenroy Railway Station/Hartington St (Glenroy)","-37.7040499382616","144.917744433627"
"19261","24-Mooltan St/Mt Alexander Rd (Flemington)","-37.7839358226832","144.936998788049"
"19353","125-Blyth St/Lygon St (Brunswick East)","-37.7664689972755","144.972698618112"
"19470","47-Mt Alexander Rd/Keilor Rd (Essendon)","-37.743951582351","144.908943590641"
"19520","Spencer St/Flinders St (Melbourne City)","-37.8215088659618","144.954220746792"
"19526","Collins St/Russell St (Melbourne City)","-37.8149782572046","144.968964033024"
"19545","Melbourne Central/Lonsdale St (Melbourne City)","-37.8115498497348","144.965082316955"
"19547","Lonsdale St/Spencer St (Melbourne City)","-37.814812317733","144.952099643101"
"19548","Spencer St/Lonsdale St (Melbourne City)","-37.8150119381031","144.952696183739"
"19586","Abbotsford St/Spencer St (West Melbourne)","-37.805966261635","144.944540986188"
"19587","North Melbourne Railway Station/Spencer St (West Melbourne)","-37.8056584019263","144.943425068707"
"19599","24-Mooltan St/Mt Alexander Rd (Flemington)","-37.7841908121892","144.93715066464"
"1962","Harcourt Ave/Princes Hwy (Mulgrave)","-37.9306874889064","145.153160545618"
"19632","Knox City Shopping Centre Interchange/Burwood Hwy (Wantirna South)","-37.8693399822107","145.2387735329"
"1965","Renver Rd/Princes Hwy (Clayton)","-37.9239773675676","145.142520604359"
"19818","Dandenong Station/Foster St (Dandenong)","-37.9895685946823","145.209541498194"
"19819","Dandenong Railway Station/Foster St (Dandenong)","-37.9896538308733","145.209812711743"
"19820","Dandenong Railway Station/Foster St (Dandenong)","-37.9897194898786","145.209981919472"
"19821","Dandenong Railway Station/Foster St (Dandenong)","-37.9898506339212","145.210308953126"
"20161","Whitehall St/Hopkins St (Footscray)","-37.800559363093","144.90567855068"
"20475","Little Collins St/Queen St (Melbourne City)","-37.8160990261774","144.961333635216"
"2052","Grimshaw St/Plenty Rd (Bundoora)","-37.7005665644901","145.057883050348"
"20575","Bent St/Centre Rd (Bentleigh)","-37.9182767075526","145.037837023907"
"20576","Bentleigh SC/Centre Rd (Bentleigh)","-37.9184177020268","145.038185921216"
"20583","Caulfield Railway Station/Sir John Monash Dr (Caulfield East)","-37.8769424244474","145.042322453217"
"20689","Forum Pl/Melrose Dr (Tullamarine)","-37.700331824058","144.881043940717"
"21005","Ringwood Station/Maroondah Hwy (Ringwood)","-37.8150801638921","145.22988517169"
"21013","Glen Waverley Railway Station/Railway Pde (Glen Waverley)","-37.8793534547646","145.162800331399"
"21028","Fountain Gate SC/Overland Dr (Narre Warren)","-38.0194485294009","145.303501434127"
"21043","Doncaster Junction/Williamsons Rd (Doncaster)","-37.7865587859778","145.124606939914"
"21130","Watergardens Railway Station/Watergardens Circuit Rd (Sydenham)","-37.701041435963","144.77433050877"
"21183","Melton Railway Station/Staughton St (Melton South)","-37.7035774117542","144.572753052903"
"21210","Frankston Railway Station/Young St (Frankston)","-38.1438604561199","145.125364081978"
"21278","Croydon Railway Station/Railway Gr (Croydon)","-37.796249176941","145.280056508321"
"21287","Cyril St/Maroondah Hwy (Lilydale)","-37.7538942184138","145.364409411698"
"21291","Lilydale Railway Station/Maroondah Hwy (Lilydale)","-37.7564902592935","145.347007532338"
"21292","Lilydale Railway Station/Maroondah Hwy (Lilydale)","-37.7564624347461","145.346951395424"
