route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"7-B01-mjp-1","T0","3313.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3315.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3316.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3318.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3314.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3317.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3319.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3320.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3321.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3322.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3323.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3324.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","3325.T0.7-B01-mjp-1.1.H","7-B01-mjp-1.1.H","Lilydale Station","0"
"7-B01-mjp-1","T0","548.T0.7-B01-mjp-1.2.H","7-B01-mjp-1.2.H","Lilydale Station","0"
"7-B01-mjp-1","T0","562.T0.7-B01-mjp-1.2.H","7-B01-mjp-1.2.H","Lilydale Station","0"
"7-B01-mjp-1","T0","563.T0.7-B01-mjp-1.2.H","7-B01-mjp-1.2.H","Lilydale Station","0"
"7-B01-mjp-1","T0","549.T0.7-B01-mjp-1.2.H","7-B01-mjp-1.2.H","Lilydale Station","0"
"7-B01-mjp-1","T0","561.T0.7-B01-mjp-1.2.H","7-B01-mjp-1.2.H","Lilydale Station","0"
"7-B01-mjp-1","T0","564.T0.7-B01-mjp-1.2.H","7-B01-mjp-1.2.H","Lilydale Station","0"
"7-B01-mjp-1","T0","565.T0.7-B01-mjp-1.3.R","7-B01-mjp-1.3.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","566.T0.7-B01-mjp-1.3.R","7-B01-mjp-1.3.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","567.T0.7-B01-mjp-1.3.R","7-B01-mjp-1.3.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","568.T0.7-B01-mjp-1.3.R","7-B01-mjp-1.3.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3336.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3337.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3338.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3339.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3340.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3344.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","4937.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3341.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3342.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3343.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3345.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3346.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3347.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B01-mjp-1","T0","3348.T0.7-B01-mjp-1.4.R","7-B01-mjp-1.4.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","3359.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3360.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3361.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3362.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3363.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3364.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3365.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3366.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3367.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3368.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3369.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3370.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3371.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","3372.T0.7-B02-mjp-1.1.H","7-B02-mjp-1.1.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","579.T0.7-B02-mjp-1.2.H","7-B02-mjp-1.2.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","580.T0.7-B02-mjp-1.2.H","7-B02-mjp-1.2.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","581.T0.7-B02-mjp-1.2.H","7-B02-mjp-1.2.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","583.T0.7-B02-mjp-1.2.H","7-B02-mjp-1.2.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","582.T0.7-B02-mjp-1.2.H","7-B02-mjp-1.2.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","593.T0.7-B02-mjp-1.3.H","7-B02-mjp-1.3.H","Mooroolbark Station","0"
"7-B02-mjp-1","T0","598.T0.7-B02-mjp-1.4.R","7-B02-mjp-1.4.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","599.T0.7-B02-mjp-1.4.R","7-B02-mjp-1.4.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","600.T0.7-B02-mjp-1.4.R","7-B02-mjp-1.4.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","601.T0.7-B02-mjp-1.4.R","7-B02-mjp-1.4.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","602.T0.7-B02-mjp-1.4.R","7-B02-mjp-1.4.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9229.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9230.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9231.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9232.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9233.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9234.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9235.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9236.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9238.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9239.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9237.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9240.T0.7-B02-mjp-1.5.R","7-B02-mjp-1.5.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9241.T0.7-B02-mjp-1.6.R","7-B02-mjp-1.6.R","Chirnside Park SC","1"
"7-B02-mjp-1","T0","9242.T0.7-B02-mjp-1.6.R","7-B02-mjp-1.6.R","Chirnside Park SC","1"
"7-B03-mjp-1","T0","2214.T0.7-B03-mjp-1.1.H","7-B03-mjp-1.1.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","2215.T0.7-B03-mjp-1.1.H","7-B03-mjp-1.1.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","2216.T0.7-B03-mjp-1.1.H","7-B03-mjp-1.1.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","1632.T0.7-B03-mjp-1.1.H","7-B03-mjp-1.1.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","4903.T0.7-B03-mjp-1.1.H","7-B03-mjp-1.1.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","4892.T0.7-B03-mjp-1.2.H","7-B03-mjp-1.2.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","2219.T0.7-B03-mjp-1.3.H","7-B03-mjp-1.3.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","2220.T0.7-B03-mjp-1.3.H","7-B03-mjp-1.3.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","2221.T0.7-B03-mjp-1.3.H","7-B03-mjp-1.3.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","2222.T0.7-B03-mjp-1.3.H","7-B03-mjp-1.3.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","2223.T0.7-B03-mjp-1.3.H","7-B03-mjp-1.3.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","2224.T0.7-B03-mjp-1.3.H","7-B03-mjp-1.3.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","2225.T0.7-B03-mjp-1.3.H","7-B03-mjp-1.3.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","612.T0.7-B03-mjp-1.4.H","7-B03-mjp-1.4.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","614.T0.7-B03-mjp-1.4.H","7-B03-mjp-1.4.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","613.T0.7-B03-mjp-1.4.H","7-B03-mjp-1.4.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","615.T0.7-B03-mjp-1.4.H","7-B03-mjp-1.4.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","616.T0.7-B03-mjp-1.4.H","7-B03-mjp-1.4.H","Mooroolbark Station","0"
"7-B03-mjp-1","T0","625.T0.7-B03-mjp-1.5.R","7-B03-mjp-1.5.R","Chirnside Park SC","1"
"7-B03-mjp-1","T0","626.T0.7-B03-mjp-1.5.R","7-B03-mjp-1.5.R","Chirnside Park SC","1"
"7-B03-mjp-1","T0","627.T0.7-B03-mjp-1.5.R","7-B03-mjp-1.5.R","Chirnside Park SC","1"
"7-B03-mjp-1","T0","2236.T0.7-B03-mjp-1.6.R","7-B03-mjp-1.6.R","Chirnside Park SC","1"
"7-B03-mjp-1","T0","2237.T0.7-B03-mjp-1.6.R","7-B03-mjp-1.6.R","Chirnside Park SC","1"
"7-B03-mjp-1","T0","2238.T0.7-B03-mjp-1.6.R","7-B03-mjp-1.6.R","Chirnside Park SC","1"
"7-B03-mjp-1","T0","2239.T0.7-B03-mjp-1.6.R","7-B03-mjp-1.6.R","Chirnside Park SC","1"
"7-B03-mjp-1","T0","2240.T0.7-B03-mjp-1.6.R","7-B03-mjp-1.6.R","Chirnside Park SC","1"
